Grid Size,Thread Count,Frame Rate
40000,2,51.20
40000,2,51.24
40000,2,51.20
40000,2,51.24
40000,2,51.20
40000,2,51.24
40000,2,51.19
40000,2,51.23
40000,2,51.28
40000,2,51.24
40000,2,51.28
40000,2,51.24
40000,2,51.29
40000,2,51.25
40000,2,51.29
40000,2,51.33
40000,2,51.30
40000,2,51.34
40000,2,51.30
40000,2,51.34
40000,2,51.30
40000,2,51.34
40000,2,51.38
40000,2,51.35
40000,2,51.40
40000,2,51.35
40000,2,51.39
40000,2,51.35
40000,2,51.39
40000,2,51.35
40000,2,51.39
40000,2,51.44
40000,2,51.40
40000,2,51.45
40000,2,51.41
40000,2,51.46
40000,2,51.40
40000,2,51.44
40000,2,51.39
40000,2,51.43
40000,2,51.47
40000,2,51.42
40000,2,51.47
40000,2,51.51
40000,2,51.47
40000,2,51.51
40000,2,51.47
40000,2,51.51
40000,2,51.48
40000,2,51.52
40000,2,51.56
40000,2,51.51
40000,2,51.55
40000,2,51.52
40000,2,51.56
40000,2,51.53
40000,2,51.57
40000,2,51.54
40000,2,51.59
40000,2,51.55
40000,2,51.59
40000,2,51.56
40000,2,51.60
40000,2,51.52
40000,2,51.56
40000,2,51.60
40000,2,51.64
40000,2,51.60
40000,2,51.64
40000,2,51.60
40000,2,51.65
40000,2,51.61
40000,2,51.64
40000,2,51.69
40000,2,51.65
40000,2,51.69
40000,2,51.65
40000,2,51.69
40000,2,51.65
40000,2,51.69
40000,2,51.73
40000,2,51.69
40000,2,51.73
40000,2,51.70
40000,2,51.74
40000,2,51.71
40000,2,51.75
40000,2,51.72
40000,2,51.76
40000,2,51.72
40000,2,51.76
40000,2,51.80
40000,2,51.77
40000,2,51.81
40000,2,51.77
40000,2,51.81
40000,2,51.77
40000,2,51.81
40000,2,51.77
40000,2,51.81
40000,2,51.85
40000,2,51.82
40000,2,51.86
40000,2,51.82
40000,2,51.86
40000,2,51.82
40000,2,51.86
40000,2,51.82
40000,2,51.86
40000,2,51.91
40000,2,51.87
40000,2,51.91
40000,2,51.88
40000,2,51.92
40000,2,51.88
40000,2,51.93
40000,2,51.89
40000,2,51.93
40000,2,51.88
40000,2,51.92
40000,2,51.96
40000,2,51.92
40000,2,51.96
40000,2,51.93
40000,2,51.98
40000,2,51.94
40000,2,51.98
40000,2,51.92
40000,2,51.96
40000,2,52.00
40000,2,51.96
40000,2,52.00
40000,2,51.97
40000,2,52.01
40000,2,51.96
40000,2,52.00
40000,2,52.04
40000,2,52.01
40000,2,52.05
40000,2,52.01
40000,2,52.05
40000,2,52.02
40000,2,52.06
40000,2,52.02
40000,2,52.06
40000,2,52.10
40000,2,52.08
40000,2,52.11
40000,2,52.07
40000,2,52.11
40000,2,52.07
40000,2,52.11
40000,2,52.08
40000,2,52.12
40000,2,52.08
40000,2,52.12
40000,2,52.16
40000,2,52.12
40000,2,52.16
40000,2,52.11
40000,2,52.15
40000,2,52.19
40000,2,52.16
40000,2,52.19
40000,2,52.16
40000,2,52.20
40000,2,52.17
40000,2,52.21
40000,2,52.18
40000,2,52.22
40000,2,52.18
40000,2,52.22
40000,2,52.19
40000,2,52.23
40000,2,52.20
40000,2,52.24
40000,2,52.20
40000,2,52.24
40000,2,52.21
40000,2,52.25
40000,2,52.28
40000,2,52.25
40000,2,52.29
40000,2,52.26
40000,2,52.30
40000,2,52.26
40000,2,52.30
40000,2,52.25
40000,2,52.29
40000,2,52.33
40000,2,52.28
40000,2,52.32
40000,2,52.28
40000,2,52.31
40000,2,52.35
40000,2,52.32
40000,2,52.36
40000,2,52.33
40000,2,52.37
40000,2,52.34
40000,2,52.37
40000,2,52.34
40000,2,52.38
40000,2,52.34
40000,2,52.38
40000,2,52.35
40000,2,52.39
40000,2,52.36
40000,2,52.39
40000,2,52.43
40000,2,52.39
40000,2,52.43
40000,2,52.40
40000,2,52.44
40000,2,52.40
40000,2,52.44
40000,2,52.42
40000,2,52.45
40000,2,52.40
40000,2,52.43
40000,2,52.47
40000,2,52.43
40000,2,52.46
40000,2,52.43
40000,2,52.47
40000,2,52.51
40000,2,52.48
40000,2,52.51
40000,2,52.48
40000,2,52.52
40000,2,52.49
40000,2,52.52
40000,2,52.49
40000,2,52.53
40000,2,52.50
40000,2,52.54
40000,2,52.50
40000,2,52.54
40000,2,52.50
40000,2,52.54
40000,2,52.58
40000,2,52.55
40000,2,52.59
40000,2,52.55
40000,2,52.59
40000,2,52.54
40000,2,52.58
40000,2,52.62
40000,2,52.57
40000,2,52.61
40000,2,52.57
40000,2,52.61
40000,2,52.57
40000,2,52.61
40000,2,52.65
40000,2,52.62
40000,2,52.66
40000,2,52.62
40000,2,52.66
40000,2,52.62
40000,2,52.66
40000,2,52.63
40000,2,52.67
40000,2,52.64
40000,2,52.68
40000,2,52.65
40000,2,52.69
40000,2,52.66
40000,2,52.70
40000,2,52.67
40000,2,52.71
40000,2,52.68
40000,2,52.71
40000,2,52.68
40000,2,52.71
40000,2,52.67
40000,2,52.70
40000,2,52.74
40000,2,52.70
40000,2,52.73
40000,2,52.69
40000,2,52.73
40000,2,52.76
40000,2,52.73
40000,2,52.77
40000,2,52.74
40000,2,52.78
40000,2,52.75
40000,2,52.78
40000,2,52.75
40000,2,52.79
40000,2,52.76
40000,2,52.79
40000,2,52.76
40000,2,52.79
40000,2,52.83
40000,2,52.80
40000,2,52.84
40000,2,52.81
40000,2,52.84
40000,2,52.81
40000,2,52.85
40000,2,52.81
40000,2,52.85
40000,2,52.82
40000,2,52.85
40000,2,52.82
40000,2,52.85
40000,2,52.89
40000,2,52.84
40000,2,52.88
40000,2,52.83
40000,2,52.86
40000,2,52.90
40000,2,52.87
40000,2,52.90
40000,2,52.88
40000,2,52.91
40000,2,52.88
40000,2,52.92
40000,2,52.87
